类别,ID,名称,确认状态,备注
奇弈道具,76,1级魔兽恢复药,已确认,现有代码目录
奇弈道具,77,2级魔兽恢复药,已确认,现有代码目录
奇弈道具,78,3级魔兽恢复药,已确认,现有代码目录
奇弈道具,79,4级魔兽恢复药,已确认,现有代码目录
奇弈道具,80,1级魔兽药粉,已确认,现有代码目录
奇弈道具,81,2级魔兽药粉,已确认,现有代码目录
奇弈道具,82,3级魔兽药粉,已确认,现有代码目录
奇弈道具,96,回唤兽笛,已确认,现有代码目录
奇弈道具,104,魔兽刚力药,已确认,现有代码目录
奇弈道具,125,2级魔兽耐风药,已确认,现有代码目录
奇弈道具,128,火之牙,已确认,现有代码目录
奇弈道具,129,冰之牙,已确认,现有代码目录
奇弈道具,130,水之牙,已确认,现有代码目录
奇弈道具,131,雷之牙,已确认,现有代码目录
奇弈道具,132,土之牙,已确认,现有代码目录
奇弈道具,133,风之牙,已确认,现有代码目录
奇弈道具,134,吸血鬼之牙,已确认,现有代码目录
奇弈道具,135,魔兽吸血药,已确认,现有代码目录
奇弈道具,136,反射之书,已确认,现有代码目录
奇弈道具,137,闪躲之书,已确认,现有代码目录
奇弈道具,138,时之沙,已确认,现有代码目录
奇弈道具,140,魔兽恢复药套装,已确认,现有代码目录
奇弈道具,,,待填写,复制此行并填写新物品
斗兽装备,,,待填写,现有代码仅确认斗兽装备ID低于76；请填写具体ID和名称
